timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1516055254454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-12,text,false,,1183,0,1,1,0,0,0
1516055254654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-13,text,false,,1174,0,1,1,0,0,0
1516055254654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-13,text,false,,1183,0,1,1,0,0,0
1516055254854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-14,text,false,,1174,0,1,1,0,0,0
1516055254855,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-14,text,false,,1183,0,1,1,0,0,0
1516055255055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-15,text,false,,1174,0,1,1,0,0,0
1516055255055,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-15,text,false,,1183,0,1,1,0,0,0
1516055255254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-16,text,false,,1174,0,1,1,0,0,0
1516055255254,1,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-16,text,false,,1183,0,1,1,0,0,0
1516055255454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-17,text,false,,1174,0,1,1,0,0,0
1516055255455,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-17,text,false,,1183,0,1,1,0,0,0
1516055255654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-18,text,false,,1174,0,1,1,0,0,0
1516055255654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-18,text,false,,1183,0,1,1,0,0,0
1516055255854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-19,text,false,,1174,0,1,1,0,0,0
1516055255854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-19,text,false,,1183,0,1,1,0,0,0
1516055256054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-20,text,false,,1174,0,1,1,0,0,0
1516055256054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-20,text,false,,1183,0,1,1,0,0,0
1516055256254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-21,text,false,,1174,0,1,1,0,0,0
1516055256254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-21,text,false,,1183,0,1,1,0,0,0
1516055256453,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-22,text,false,,1174,0,1,1,0,0,0
1516055256454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-22,text,false,,1183,0,1,1,0,0,0
1516055256654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-23,text,false,,1174,0,1,1,0,0,0
1516055256654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-23,text,false,,1183,0,1,1,0,0,0
1516055256853,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-24,text,false,,1174,0,1,1,0,0,0
1516055256854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-24,text,false,,1183,0,1,1,0,0,0
1516055257053,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-25,text,false,,1174,0,1,1,0,0,0
1516055257054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-25,text,false,,1183,0,1,1,0,0,0
1516055257253,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-26,text,false,,1174,0,1,1,0,0,0
1516055257254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-26,text,false,,1183,0,1,1,0,0,0
1516055257453,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-27,text,false,,1174,0,1,1,0,0,0
1516055257454,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-27,text,false,,1183,0,1,1,0,0,0
1516055257653,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-28,text,false,,1174,0,1,1,0,0,0
1516055257654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-28,text,false,,1183,0,1,1,0,0,0
1516055257853,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-29,text,false,,1174,0,1,1,0,0,0
1516055257854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-29,text,false,,1183,0,1,1,0,0,0
1516055258053,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-30,text,false,,1174,0,1,1,0,0,0
1516055258054,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-30,text,false,,1183,0,1,1,0,0,0
1516055258254,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-31,text,false,,1174,0,1,1,0,0,0
1516055258255,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-31,text,false,,1183,0,1,1,0,0,0
1516055258453,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-32,text,false,,1174,0,1,1,0,0,0
1516055258453,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-32,text,false,,1183,0,1,1,0,0,0
1516055258654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-33,text,false,,1174,0,1,1,0,0,0
1516055258654,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-33,text,false,,1183,0,1,1,0,0,0
1516055258854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-34,text,false,,1174,0,1,1,0,0,0
1516055258854,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/map.xhtml,Thread Group 1-34,text,false,,1183,0,1,1,0,0,0
1516055259053,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://localhost:8080/BiMr/]/,Thread Group 1-35,text,false,,1174,0,1,1,0,0,0
